STATE|COUNTY|STNAME|CTYNAME|CENSUS2010POP|POPESTIMATE2014
01|000|Alabama|Alabama|4779736|4849377
01|001|Alabama|Autauga County|54571|55395
01|003|Alabama|Baldwin County|182265|200111
01|005|Alabama|Barbour County|27457|26887
01|007|Alabama|Bibb County|22915|22506
01|009|Alabama|Blount County|57322|57719
01|011|Alabama|Bullock County|10914|10764
01|013|Alabama|Butler County|20947|20296
01|015|Alabama|Calhoun County|118572|115916
01|017|Alabama|Chambers County|34215|34076
01|019|Alabama|Cherokee County|25989|26037
01|021|Alabama|Chilton County|43643|43931
01|023|Alabama|Choctaw County|13859|13323
01|025|Alabama|Clarke County|25833|24945
01|027|Alabama|Clay County|13932|13552
01|029|Alabama|Cleburne County|14972|15080
01|031|Alabama|Coffee County|49948|50909
01|033|Alabama|Colbert County|54428|54543
01|035|Alabama|Conecuh County|13228|12670
01|037|Alabama|Coosa County|11539|10886
01|039|Alabama|Covington County|37765|37914
01|041|Alabama|Crenshaw County|13906|13977
01|043|Alabama|Cullman County|80406|81289
01|045|Alabama|Dale County|50251|49484
01|047|Alabama|Dallas County|43820|41711
01|049|Alabama|DeKalb County|71109|71065
01|051|Alabama|Elmore County|79303|80977
01|053|Alabama|Escambia County|38319|37733
01|055|Alabama|Etowah County|104430|103531
01|057|Alabama|Fayette County|17241|16874
01|059|Alabama|Franklin County|31704|31601
01|061|Alabama|Geneva County|26790|26712
01|063|Alabama|Greene County|9045|8553
01|065|Alabama|Hale County|15760|15184
01|067|Alabama|Henry County|17302|17190
01|069|Alabama|Houston County|101547|104193
01|071|Alabama|Jackson County|53227|52665
01|073|Alabama|Jefferson County|658466|660793
01|075|Alabama|Lamar County|14564|14086
01|077|Alabama|Lauderdale County|92709|93096
01|079|Alabama|Lawrence County|34339|33477
01|081|Alabama|Lee County|140247|154255
01|083|Alabama|Limestone County|82782|90787
01|085|Alabama|Lowndes County|11299|10580
01|087|Alabama|Macon County|21452|19425
01|089|Alabama|Madison County|334811|350299
01|091|Alabama|Marengo County|21027|20110
01|093|Alabama|Marion County|30776|30271
01|095|Alabama|Marshall County|93019|94636
01|097|Alabama|Mobile County|412992|415123
01|099|Alabama|Monroe County|23068|21947
01|101|Alabama|Montgomery County|229363|226189
01|103|Alabama|Morgan County|119490|119607
01|105|Alabama|Perry County|10591|9826
01|107|Alabama|Pickens County|19746|20365
01|109|Alabama|Pike County|32899|33389
01|111|Alabama|Randolph County|22913|22539
01|113|Alabama|Russell County|52947|59608
01|115|Alabama|St. Clair County|83593|86697
01|117|Alabama|Shelby County|195085|206655
01|119|Alabama|Sumter County|13763|13166
01|121|Alabama|Talladega County|82291|81322
01|123|Alabama|Tallapoosa County|41616|41165
01|125|Alabama|Tuscaloosa County|194656|202212
01|127|Alabama|Walker County|67023|65471
01|129|Alabama|Washington County|17581|16834
01|131|Alabama|Wilcox County|11670|11098
01|133|Alabama|Winston County|24484|24150
02|000|Alaska|Alaska|710231|736732
02|013|Alaska|Aleutians East Borough|3141|3360
02|016|Alaska|Aleutians West Census Area|5561|5750
02|020|Alaska|Anchorage Municipality|291826|301010
02|050|Alaska|Bethel Census Area|17013|17868
02|060|Alaska|Bristol Bay Borough|997|957
02|068|Alaska|Denali Borough|1826|1921
02|070|Alaska|Dillingham Census Area|4847|4988
02|090|Alaska|Fairbanks North Star Borough|97581|99357
02|100|Alaska|Haines Borough|2508|2566
02|105|Alaska|Hoonah-Angoon Census Area|2150|2082
02|110|Alaska|Juneau City and Borough|31275|32406
02|122|Alaska|Kenai Peninsula Borough|55400|57477
02|130|Alaska|Ketchikan Gateway Borough|13477|13787
02|150|Alaska|Kodiak Island Borough|13592|13986
02|164|Alaska|Lake and Peninsula Borough|1631|1631
02|170|Alaska|Matanuska-Susitna Borough|88995|97882
02|180|Alaska|Nome Census Area|9492|9817
02|185|Alaska|North Slope Borough|9430|9703
02|188|Alaska|Northwest Arctic Borough|7523|7717
02|195|Alaska|Petersburg Borough|3815|3160
02|198|Alaska|Prince of Wales-Hyder Census Area|5559|6396
02|220|Alaska|Sitka City and Borough|8881|8900
02|230|Alaska|Skagway Municipality|968|1036
02|240|Alaska|Southeast Fairbanks Census Area|7029|6931
02|261|Alaska|Valdez-Cordova Census Area|9636|9488
02|270|Alaska|Wade Hampton Census Area|7459|8010
02|275|Alaska|Wrangell City and Borough|2369|2364
02|282|Alaska|Yakutat City and Borough|662|635
02|290|Alaska|Yukon-Koyukuk Census Area|5588|5547
04|000|Arizona|Arizona|6392017|6731484
04|001|Arizona|Apache County|71518|71828
04|003|Arizona|Cochise County|131346|127448
04|005|Arizona|Coconino County|134421|137682
04|007|Arizona|Gila County|53597|53119
04|009|Arizona|Graham County|37220|37957
04|011|Arizona|Greenlee County|8437|9346
04|012|Arizona|La Paz County|20489|20231
04|013|Arizona|Maricopa County|3817117|4087191
04|015|Arizona|Mohave County|200186|203361
04|017|Arizona|Navajo County|107449|108101
04|019|Arizona|Pima County|980263|1004516
04|021|Arizona|Pinal County|375770|401918
04|023|Arizona|Santa Cruz County|47420|46695
04|025|Arizona|Yavapai County|211033|218844
04|027|Arizona|Yuma County|195751|203247
05|000|Arkansas|Arkansas|2915918|2966369
05|001|Arkansas|Arkansas County|19019|18594
05|003|Arkansas|Ashley County|21853|20948
05|005|Arkansas|Baxter County|41513|40857
05|007|Arkansas|Benton County|221339|242321
05|009|Arkansas|Boone County|36903|37196
05|011|Arkansas|Bradley County|11508|11148
05|013|Arkansas|Calhoun County|5368|5202
05|015|Arkansas|Carroll County|27446|27744
05|017|Arkansas|Chicot County|11800|11180
05|019|Arkansas|Clark County|22995|22576
05|021|Arkansas|Clay County|16083|15118
05|023|Arkansas|Cleburne County|25970|25634
05|025|Arkansas|Cleveland County|8689|8449
05|027|Arkansas|Columbia County|24552|23933
05|029|Arkansas|Conway County|21273|21083
05|031|Arkansas|Craighead County|96443|102518
05|033|Arkansas|Crawford County|61948|61697
05|035|Arkansas|Crittenden County|50902|49548
05|037|Arkansas|Cross County|17870|17227
05|039|Arkansas|Dallas County|8116|7755
05|041|Arkansas|Desha County|13008|12264
05|043|Arkansas|Drew County|18509|18622
05|045|Arkansas|Faulkner County|113237|120768
05|047|Arkansas|Franklin County|18125|17805
05|049|Arkansas|Fulton County|12245|12125
05|051|Arkansas|Garland County|96024|97322
05|053|Arkansas|Grant County|17853|18144
05|055|Arkansas|Greene County|42090|43694
05|057|Arkansas|Hempstead County|22609|22327
05|059|Arkansas|Hot Spring County|32923|33368
05|061|Arkansas|Howard County|13789|13500
05|063|Arkansas|Independence County|36647|36959
05|065|Arkansas|Izard County|13696|13486
05|067|Arkansas|Jackson County|17997|17534
05|069|Arkansas|Jefferson County|77435|72297
05|071|Arkansas|Johnson County|25540|26005
05|073|Arkansas|Lafayette County|7645|7111
05|075|Arkansas|Lawrence County|17415|16931
05|077|Arkansas|Lee County|10424|9860
05|079|Arkansas|Lincoln County|14134|13970
05|081|Arkansas|Little River County|13171|12532
05|083|Arkansas|Logan County|22353|21958
05|085|Arkansas|Lonoke County|68356|71557
05|087|Arkansas|Madison County|15717|15740
05|089|Arkansas|Marion County|16653|16367
05|091|Arkansas|Miller County|43462|43428
05|093|Arkansas|Mississippi County|46480|44235
05|095|Arkansas|Monroe County|8149|7582
05|097|Arkansas|Montgomery County|9487|9082
05|099|Arkansas|Nevada County|8997|8723
05|101|Arkansas|Newton County|8330|7904
05|103|Arkansas|Ouachita County|26120|24828
05|105|Arkansas|Perry County|10445|10245
05|107|Arkansas|Phillips County|21757|19930
05|109|Arkansas|Pike County|11291|11024
05|111|Arkansas|Poinsett County|24583|24246
05|113|Arkansas|Polk County|20662|20225
05|115|Arkansas|Pope County|61754|63201
05|117|Arkansas|Prairie County|8715|8304
05|119|Arkansas|Pulaski County|382748|392702
05|121|Arkansas|Randolph County|17969|17571
05|123|Arkansas|St. Francis County|28258|26899
05|125|Arkansas|Saline County|107118|115719
05|127|Arkansas|Scott County|11233|10693
05|129|Arkansas|Searcy County|8195|7929
05|131|Arkansas|Sebastian County|125744|126776
05|133|Arkansas|Sevier County|17058|17426
05|135|Arkansas|Sharp County|17264|16906
05|137|Arkansas|Stone County|12394|12494
05|139|Arkansas|Union County|41639|40227
05|141|Arkansas|Van Buren County|17295|16851
05|143|Arkansas|Washington County|203065|220792
05|145|Arkansas|White County|77076|78592
05|147|Arkansas|Woodruff County|7260|6910
05|149|Arkansas|Yell County|22185|21951
06|000|California|California|37253956|38802500
06|001|California|Alameda County|1510271|1610921
06|003|California|Alpine County|1175|1116
06|005|California|Amador County|38091|36742
06|007|California|Butte County|220000|224241
06|009|California|Calaveras County|45578|44624
06|011|California|Colusa County|21419|21419
06|013|California|Contra Costa County|1049025|1111339
06|015|California|Del Norte County|28610|27212
06|017|California|El Dorado County|181058|183087
06|019|California|Fresno County|930450|965974
06|021|California|Glenn County|28122|27955
06|023|California|Humboldt County|134623|134809
06|025|California|Imperial County|174528|179091
06|027|California|Inyo County|18546|18410
06|029|California|Kern County|839631|874589
06|031|California|Kings County|152982|150269
06|033|California|Lake County|64665|64184
06|035|California|Lassen County|34895|31749
06|037|California|Los Angeles County|9818605|10116705
06|039|California|Madera County|150865|154548
06|041|California|Marin County|252409|260750
06|043|California|Mariposa County|18251|17682
06|045|California|Mendocino County|87841|87869
06|047|California|Merced County|255793|266353
06|049|California|Modoc County|9686|9023
06|051|California|Mono County|14202|13997
06|053|California|Monterey County|415057|431344
06|055|California|Napa County|136484|141667
06|057|California|Nevada County|98764|98893
06|059|California|Orange County|3010232|3145515
06|061|California|Placer County|348432|371694
06|063|California|Plumas County|20007|18606
06|065|California|Riverside County|2189641|2329271
06|067|California|Sacramento County|1418788|1482026
06|069|California|San Benito County|55269|58267
06|071|California|San Bernardino County|2035210|2112619
06|073|California|San Diego County|3095313|3263431
06|075|California|San Francisco County|805235|852469
06|077|California|San Joaquin County|685306|715597
06|079|California|San Luis Obispo County|269637|279083
06|081|California|San Mateo County|718451|758581
06|083|California|Santa Barbara County|423895|440668
06|085|California|Santa Clara County|1781642|1894605
06|087|California|Santa Cruz County|262382|271804
06|089|California|Shasta County|177223|179804
06|091|California|Sierra County|3240|3003
06|093|California|Siskiyou County|44900|43628
06|095|California|Solano County|413344|431131
06|097|California|Sonoma County|483878|500292
06|099|California|Stanislaus County|514453|531997
06|101|California|Sutter County|94737|95847
06|103|California|Tehama County|63463|63067
06|105|California|Trinity County|13786|13170
06|107|California|Tulare County|442179|458198
06|109|California|Tuolumne County|55365|53831
06|111|California|Ventura County|823318|846178
06|113|California|Yolo County|200849|207590
06|115|California|Yuba County|72155|73966
08|000|Colorado|Colorado|5029196|5355866
08|001|Colorado|Adams County|441603|480718
08|003|Colorado|Alamosa County|15445|16177
08|005|Colorado|Arapahoe County|572003|618821
08|007|Colorado|Archuleta County|12084|12244
08|009|Colorado|Baca County|3788|3645
08|011|Colorado|Bent County|6499|5630
08|013|Colorado|Boulder County|294567|313333
08|014|Colorado|Broomfield County|55889|62138
08|015|Colorado|Chaffee County|17809|18363
08|017|Colorado|Cheyenne County|1836|1871
08|019|Colorado|Clear Creek County|9088|9187
08|021|Colorado|Conejos County|8256|8265
08|023|Colorado|Costilla County|3524|3568
08|025|Colorado|Crowley County|5823|5360
08|027|Colorado|Custer County|4255|4361
08|029|Colorado|Delta County|30952|29870
08|031|Colorado|Denver County|600158|663862
08|033|Colorado|Dolores County|2064|1978
08|035|Colorado|Douglas County|285465|314638
08|037|Colorado|Eagle County|52197|52921
08|039|Colorado|Elbert County|23086|24195
08|041|Colorado|El Paso County|622263|663519
08|043|Colorado|Fremont County|46824|46502
08|045|Colorado|Garfield County|56389|57461
08|047|Colorado|Gilpin County|5441|5851
08|049|Colorado|Grand County|14843|14546
08|051|Colorado|Gunnison County|15324|15725
08|053|Colorado|Hinsdale County|843|786
08|055|Colorado|Huerfano County|6711|6462
08|057|Colorado|Jackson County|1394|1396
08|059|Colorado|Jefferson County|534543|558503
08|061|Colorado|Kiowa County|1398|1402
08|063|Colorado|Kit Carson County|8270|8072
08|065|Colorado|Lake County|7310|7357
08|067|Colorado|La Plata County|51334|53989
08|069|Colorado|Larimer County|299630|324122
08|071|Colorado|Las Animas County|15507|14052
08|073|Colorado|Lincoln County|5467|5510
08|075|Colorado|Logan County|22709|22524
08|077|Colorado|Mesa County|146723|148255
08|079|Colorado|Mineral County|712|698
08|081|Colorado|Moffat County|13795|12928
08|083|Colorado|Montezuma County|25535|25772
08|085|Colorado|Montrose County|41276|40873
08|087|Colorado|Morgan County|28159|28328
08|089|Colorado|Otero County|18831|18488
08|091|Colorado|Ouray County|4436|4629
08|093|Colorado|Park County|16206|16345
08|095|Colorado|Phillips County|4442|4363
08|097|Colorado|Pitkin County|17148|17626
08|099|Colorado|Prowers County|12551|12034
08|101|Colorado|Pueblo County|159063|161875
08|103|Colorado|Rio Blanco County|6666|6707
08|105|Colorado|Rio Grande County|11982|11607
08|107|Colorado|Routt County|23509|23865
08|109|Colorado|Saguache County|6108|6196
08|111|Colorado|San Juan County|699|720
08|113|Colorado|San Miguel County|7359|7840
08|115|Colorado|Sedgwick County|2379|2348
08|117|Colorado|Summit County|27994|29404
08|119|Colorado|Teller County|23350|23389
08|121|Colorado|Washington County|4814|4780
08|123|Colorado|Weld County|252825|277670
08|125|Colorado|Yuma County|10043|10202
09|000|Connecticut|Connecticut|3574097|3596677
09|001|Connecticut|Fairfield County|916829|945438
09|003|Connecticut|Hartford County|894014|897985
09|005|Connecticut|Litchfield County|189927|184993
09|007|Connecticut|Middlesex County|165676|164943
09|009|Connecticut|New Haven County|862477|861277
09|011|Connecticut|New London County|274055|273676
09|013|Connecticut|Tolland County|152691|151367
09|015|Connecticut|Windham County|118428|116998
10|000|Delaware|Delaware|897934|935614
10|001|Delaware|Kent County|162310|171987
10|003|Delaware|New Castle County|538479|552778
10|005|Delaware|Sussex County|197145|210849
11|000|District of Columbia|District of Columbia|601723|658893
11|001|District of Columbia|District of Columbia|601723|658893
12|000|Florida|Florida|18801310|19893297
12|001|Florida|Alachua County|247336|256380
12|003|Florida|Baker County|27115|27093
12|005|Florida|Bay County|168852|178985
12|007|Florida|Bradford County|28520|26702
12|009|Florida|Brevard County|543376|556885
12|011|Florida|Broward County|1748066|1869235
12|013|Florida|Calhoun County|14625|14532
12|015|Florida|Charlotte County|159978|168474
12|017|Florida|Citrus County|141236|139377
12|019|Florida|Clay County|190865|199798
