statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
48,001,Texas,Anderson County,58485,58355,58010,57889,57742,57580
48,003,Texas,Andrews County,14835,15393,16121,16800,17457,18105
48,005,Texas,Angelina County,86917,87325,87623,87661,87875,88255
48,007,Texas,Aransas County,23200,23325,23688,24162,24933,25350
48,009,Texas,Archer County,9108,8836,8781,8754,8808,8715
48,011,Texas,Armstrong County,1899,1931,1945,1957,1948,1947
48,013,Texas,Atascosa County,44964,45473,46452,47077,47812,48435
48,015,Texas,Austin County,28379,28598,28560,28713,28994,29563
48,017,Texas,Bailey County,7154,7192,7136,7130,6960,7210
48,019,Texas,Bandera County,20551,20556,20616,20621,20916,21269
48,021,Texas,Bastrop County,74329,75147,74886,76032,78148,80527
48,023,Texas,Baylor County,3717,3711,3616,3607,3586,3618
48,025,Texas,Bee County,31886,32309,32440,32759,32911,32874
48,027,Texas,Bell County,312978,316120,323096,326654,329394,334941
48,029,Texas,Bexar County,1722989,1755901,1789834,1823749,1860274,1897753
48,031,Texas,Blanco County,10503,10558,10622,10635,10798,11004
48,033,Texas,Borden County,643,628,613,638,654,648
48,035,Texas,Bosque County,18258,18248,18114,17870,17734,17891
48,037,Texas,Bowie County,92675,92684,93006,93400,93298,93389
48,039,Texas,Brazoria County,314498,319375,324503,330340,338176,346312
48,041,Texas,Brazos County,195686,197505,200327,204286,209201,215037
48,043,Texas,Brewster County,9271,9354,9247,9281,9148,9145
48,045,Texas,Briscoe County,1631,1647,1564,1545,1535,1505
48,047,Texas,Brooks County,7199,7215,7184,7236,7242,7230
48,049,Texas,Brown County,38117,38016,37865,37764,37625,37896
48,051,Texas,Burleson County,17216,17244,17326,17166,17270,17460
48,053,Texas,Burnet County,42763,43347,43588,43882,44441,45463
48,055,Texas,Caldwell County,38104,38464,38711,39243,39797,40522
48,057,Texas,Calhoun County,21327,21349,21559,21734,21791,21895
48,059,Texas,Callahan County,13518,13535,13519,13528,13520,13557
48,061,Texas,Cameron County,407626,413130,415977,418071,420400,422156
48,063,Texas,Camp County,12412,12409,12461,12413,12617,12682
48,065,Texas,Carson County,6164,6271,6110,5981,6007,5969
48,067,Texas,Cass County,30430,30499,30184,30369,30274,30313
48,069,Texas,Castro County,8110,8056,8194,8027,7805,7656
48,071,Texas,Chambers County,35422,35614,36406,37240,38132,38863
48,073,Texas,Cherokee County,50915,51020,51218,51005,51052,51542
48,075,Texas,Childress County,7063,7010,7083,7048,7065,7088
48,077,Texas,Clay County,10732,10683,10517,10452,10381,10360
48,079,Texas,Cochran County,3137,3070,3020,2998,2923,2953
48,081,Texas,Coke County,3319,3282,3221,3206,3242,3238
48,083,Texas,Coleman County,8878,8738,8667,8526,8413,8338
48,085,Texas,Collin County,788629,814698,837480,858717,886052,914127
48,087,Texas,Collingsworth County,3055,3098,3027,3098,3024,3044
48,089,Texas,Colorado County,20884,20807,20692,20739,20675,20870
48,091,Texas,Comal County,109299,112059,114931,118682,123439,129048
48,093,Texas,Comanche County,13963,13881,13727,13574,13502,13430
48,095,Texas,Concho County,4098,4140,4065,4098,4045,4081
48,097,Texas,Cooke County,38456,38403,38790,38553,38828,39229
48,099,Texas,Coryell County,75604,76610,76860,76162,75507,75503
48,101,Texas,Cottle County,1506,1509,1485,1449,1427,1426
48,103,Texas,Crane County,4380,4365,4564,4746,4927,5048
48,105,Texas,Crockett County,3709,3673,3711,3752,3781,3710
48,107,Texas,Crosby County,6045,6085,6096,5988,5888,5977
48,109,Texas,Culberson County,2399,2378,2307,2292,2266,2236
48,111,Texas,Dallam County,6744,6834,6983,7025,7108,7121
48,113,Texas,Dallas County,2373464,2409778,2456444,2485781,2519625,2553385
48,115,Texas,Dawson County,13835,13788,13648,13250,13505,13520
