msa,pop10,pop11,pop12,pop13,pop14,pop15
"Abilene, TX",165609,166639,167578,167549,168380,169578
"Amarillo, TX",252725,256069,257915,259061,260987,262056
"Austin-Round Rock, TX",1727627,1781409,1835298,1884439,1943465,2000860
"Beaumont-Port Arthur, TX",403701,405204,403778,405433,405644,408419
"Brownsville-Harlingen, TX",407626,413130,415977,418071,420400,422156
"College Station-Bryan, TX",229473,231418,234108,237880,242919,249156
"Corpus Christi, TX",427997,431018,436958,443362,448351,452422
"Dallas-Fort Worth-Arlington, TX",6452614,6574298,6709559,6822353,6958092,7102796
"El Paso, TX",807102,823426,835201,835769,838756,838972
"Houston-The Woodlands-Sugar Land, TX",5948253,6059752,6185988,6332710,6497864,6656947
"Killeen-Temple, TX",408337,412674,420073,423021,425143,431032
"Laredo, TX",251337,255639,260015,263861,267018,269721
"Longview, TX",214732,215934,216722,216425,216795,217781
"Lubbock, TX",292203,295384,297967,301580,306680,311154
"McAllen-Edinburg-Mission, TX",779143,795272,807776,819173,831561,842304
"Midland, TX",141806,145044,152178,157326,161440,166718
"Odessa, TX",137078,139733,144552,149666,154399,159436
"San Angelo, TX",112285,113442,115067,116563,118449,119659
"San Antonio-New Braunfels, TX",2153215,2194579,2238578,2283485,2332790,2384075
"Sherman-Denison, TX",121042,121249,121601,122165,123419,125467
"Texarkana, TX-AR",149352,149385,149553,149564,149366,149769
"Tyler, TX",210470,212832,215088,216854,220050,222936
"Victoria, TX",94083,94676,96629,97602,98724,99913
"Waco, TX",253821,255696,257021,258784,260264,262813
"Wichita Falls, TX",151649,150378,151085,151686,152144,150780
