statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
01,000,Alabama,Alabama,4785161,4801108,4816089,4830533,4846411,4858979
01,001,Alabama,Autauga County,54660,55253,55175,55038,55290,55347
01,003,Alabama,Baldwin County,183193,186659,190396,195126,199713,203709
01,005,Alabama,Barbour County,27341,27226,27159,26973,26815,26489
01,007,Alabama,Bibb County,22861,22733,22642,22512,22549,22583
01,009,Alabama,Blount County,57373,57711,57776,57734,57658,57673
01,011,Alabama,Bullock County,10887,10629,10606,10628,10829,10696
01,013,Alabama,Butler County,20944,20673,20408,20261,20276,20154
01,015,Alabama,Calhoun County,118437,117768,117286,116575,115993,115620
01,017,Alabama,Chambers County,34098,33993,34075,34153,34052,34123
01,019,Alabama,Cherokee County,25976,26080,26023,26084,25995,25859
01,021,Alabama,Chilton County,43665,43739,43697,43795,43921,43943
01,023,Alabama,Choctaw County,13841,13593,13543,13378,13289,13170
01,025,Alabama,Clarke County,25767,25570,25144,25116,24847,24675
01,027,Alabama,Clay County,13880,13670,13456,13467,13538,13555
01,029,Alabama,Cleburne County,14973,14971,14921,15028,15072,15018
01,031,Alabama,Coffee County,50177,50448,51173,50755,50831,51211
01,033,Alabama,Colbert County,54514,54443,54472,54471,54480,54354
01,035,Alabama,Conecuh County,13208,13121,12996,12875,12662,12672
01,037,Alabama,Coosa County,11758,11348,11195,11059,10807,10724
01,039,Alabama,Covington County,37796,38060,37818,37830,37888,37835
01,041,Alabama,Crenshaw County,13853,13896,13951,13932,13948,13963
01,043,Alabama,Cullman County,80473,80469,80374,80756,81221,82005
01,045,Alabama,Dale County,50358,50109,50324,49833,49501,49565
01,047,Alabama,Dallas County,43803,43178,42777,42021,41662,41131
01,049,Alabama,DeKalb County,71142,71387,70942,70869,71012,71130
01,051,Alabama,Elmore County,79465,80012,80432,80883,81022,81468
01,053,Alabama,Escambia County,38309,38213,38034,37857,37784,37789
01,055,Alabama,Etowah County,104442,104236,104235,103852,103452,103057
01,057,Alabama,Fayette County,17231,17062,16960,16857,16842,16759
01,059,Alabama,Franklin County,31734,31729,31648,31507,31592,31696
01,061,Alabama,Geneva County,26795,26832,27006,26752,26707,26777
01,063,Alabama,Greene County,9001,8910,8835,8706,8553,8479
01,065,Alabama,Hale County,15735,15364,15401,15316,15131,15068
01,067,Alabama,Henry County,17292,17407,17249,17206,17176,17221
01,069,Alabama,Houston County,101783,102422,103355,103610,104110,104173
01,071,Alabama,Jackson County,53179,53264,53064,52921,52631,52419
01,073,Alabama,Jefferson County,658116,657779,657704,658913,660368,660367
01,075,Alabama,Lamar County,14495,14292,14252,14187,14050,13886
01,077,Alabama,Lauderdale County,92747,92618,92680,92729,93063,92596
01,079,Alabama,Lawrence County,34305,34045,33776,33567,33426,33115
01,081,Alabama,Lee County,140782,144087,147899,151506,154426,156993
01,083,Alabama,Limestone County,83163,85557,87321,88870,90612,91663
01,085,Alabama,Lowndes County,11275,11119,10852,10725,10555,10458
01,087,Alabama,Macon County,21545,21269,20479,19852,19387,19105
01,089,Alabama,Madison County,336138,339574,342696,346720,350112,353089
01,091,Alabama,Marengo County,20942,20708,20449,20210,20136,20028
01,093,Alabama,Marion County,30800,30727,30515,30278,30246,30168
01,095,Alabama,Marshall County,93146,93906,94228,94377,94356,94725
01,097,Alabama,Mobile County,413332,413062,413750,414121,414926,415395
