msa,pop10,pop11,pop12,pop13,pop14,pop15
"Abilene, TX",165609,166639,167578,167549,168380,169578
"Akron, OH",703119,703180,702674,703788,704835,704243
"Albany, GA",157665,157805,157370,155864,155020,153526
"Albany, OR",116890,118137,118359,118545,119269,120547
"Albany-Schenectady-Troy, NY",871112,873222,875542,878542,880091,881830
"Albuquerque, NM",889625,897024,901103,903502,904720,907301
"Alexandria, LA",154131,154408,154459,154785,154798,154484
"Allentown-Bethlehem-Easton, PA-NJ",822157,825219,827115,826766,829731,832327
"Altoona, PA",127051,127192,127015,126426,126016,125593
"Amarillo, TX",252725,256069,257915,259061,260987,262056
"Ames, IA",89633,90956,91868,93627,95456,96021
"Anchorage, AK",383166,388174,392404,397414,398642,399790
"Ann Arbor, MI",345563,349048,351213,354289,357029,358880
"Anniston-Oxford-Jacksonville, AL",118437,117768,117286,116575,115993,115620
"Appleton, WI",225944,227482,228641,229927,231483,233007
"Asheville, NC",425462,428387,431983,437267,441782,446840
"Athens-Clarke County, GA",193451,194618,196397,197892,199029,203189
"Atlanta-Sandy Springs-Roswell, GA",5303758,5374179,5455324,5523527,5615364,5710795
"Atlantic City-Hammonton, NJ",274761,275078,275763,276321,275499,274219
"Auburn-Opelika, AL",140782,144087,147899,151506,154426,156993
"Augusta-Richmond County, GA-SC",566568,570891,576560,579957,583338,590146
"Austin-Round Rock, TX",1727627,1781409,1835298,1884439,1943465,2000860
"Bakersfield, CA",841682,849949,856576,865787,874190,882176
"Baltimore-Columbia-Towson, MD",2715561,2735306,2755992,2773536,2786853,2797407
"Bangor, ME",153871,153822,153607,153527,153535,152692
"Barnstable Town, MA",215930,215339,214806,214685,214665,214333
"Baton Rouge, LA",804309,808469,814757,820106,825499,830480
"Battle Creek, MI",136025,135291,134750,134772,134821,134314
"Bay City, MI",107695,107497,107121,106958,106256,105659
"Beaumont-Port Arthur, TX",403701,405204,403778,405433,405644,408419
"Beckley, WV",124897,125115,124963,124181,123366,122507
"Bellingham, WA",201570,203415,204961,206349,208491,212284
"Bend-Redmond, OR",157839,159765,161749,165930,170398,175268
"Billings, MT",159355,160789,162883,165210,166853,168283
"Binghamton, NY",251456,250401,249157,248432,247446,246020
"Birmingham-Hoover, AL",1128879,1130905,1133993,1139018,1142823,1145647
"Bismarck, ND",115293,117137,120047,123812,126668,129517
"Blacksburg-Christiansburg-Radford, VA",178525,178890,179502,180836,181438,181747
"Bloomington, IL",186444,187368,189102,191271,190356,189413
"Bloomington, IN",160139,161838,162687,163272,164605,165577
"Bloomsburg-Berwick, PA",85669,85298,85395,85593,85578,85229
"Boise City, ID",618020,627647,637653,650097,664707,676909
"Boston-Cambridge-Newton, MA-NH",4565410,4608426,4652342,4698356,4739385,4774321
"Boulder, CO",295986,300671,305548,310706,313864,319372
"Bowling Green, KY",159154,160716,162102,164022,165947,168436
"Bremerton-Silverdale, WA",251723,254458,254764,253325,254525,260131
"Bridgeport-Stamford-Norwalk, CT",919744,929013,935238,941793,945816,948053
"Brownsville-Harlingen, TX",407626,413130,415977,418071,420400,422156
"Brunswick, GA",112540,113010,113360,113876,114758,116003
